Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Samrat Chandragupt,(1958),105,"['Adventure', ' Drama', ' History']",6.1,15.0,Babubhai Mistry,Nirupa Roy,Bharat Bhushan,B.M. Vyas
Samson,(1964),138,"['Action', ' Adventure']",6.0,20.0,Nanabhai Bhatt,Dara Singh,Ameeta,Feroz Khan
Samudram,(1999),135,"['Action', ' Crime', ' Drama']",6.6,99.0,Krishna Vamsi,Jagapathi Babu,Tanikella Bharani,Devadas Kanakala
Samundar,(1986),144,"['Action', ' Crime', ' Drama']",5.5,139.0,Rahul Rawail,Sunny Deol,Poonam Dhillon,Anupam Kher
Samundari Daku,(1956),135,['Action'],6.4,5.0,A.R. Zamindar,Nasir Khan,Nadira,Johnny Walker
Sanam,(1951),135,"['Comedy', ' Drama', ' Romance']",6.7,17.0,Nandlal Jaswantlal,Dev Anand,Suraiya,Meena Kumari
Sanam,(1997),152,"['Action', ' Drama', ' Romance']",4.8,87.0,Aziz Sejawal,Sanjay Dutt,Vivek Mushran,Manisha Koirala
Sanam Harjai,(1995),135,"['Drama', ' Romance']",4.8,16.0,Saawan Kumar Tak,Himanshu,Saadhika,Simran
Sanam Hum Aapke Hain...,(2009),135,"['Drama', ' Romance']",5.5,12.0,Ajay Ojha,G. Laya,Gagan Kang,Jeet Goswami
Sanam Teri Kasam,(1982),135,"['Action', ' Comedy', ' Drama']",6.0,125.0,Narendra Bedi,Kamal Haasan,Reena Roy,Jagdeep
Sanam Teri Kasam,(2009),170,"['Action', ' Drama', ' Romance']",4.8,152.0,Lawrence D'Souza,Saif Ali Khan,Atul Agnihotri,Pooja Bhatt
Sandakozhi,(2005),151,['Action'],6.9,594.0,N. Linguswamy,Vishal,Meera Jasmine,Raj Kiran
Sandhya,(2003),135,['Thriller'],5.8,17.0,Sangeeth Sivan,Jackie Shroff,Raveena Tandon,Ashutosh Rana
Sandwich,(2006),152,"['Comedy', ' Thriller']",5.4,819.0,Anees Bazmee,Govinda,Raveena Tandon,Mahima Chaudhry
Sangdil,(1952),150,"['Drama', ' Mystery', ' Romance']",7.3,96.0,R.C. Talwar,Madhubala,Dilip Kumar,Shammi
Sangdil Sanam,(1994),156,"['Drama', ' Romance']",4.2,522.0,Shomu Mukherjee,Anand Balraj,Beena Banerjee,Kishore Anand Bhanushali
Sangeet,(1992),144,"['Drama', ' Romance']",5.6,150.0,K. Viswanath,Madhuri Dixit,Jackie Shroff,Nitish Bharadwaj
Sangeet Samrat Tansen,(1962),135,"['Biography', ' Drama', ' Music']",6.7,11.0,S.N. Tripathi,Bharat Bhushan,Anita Guha,Mukri
Sangram,(1976),135,"['Drama', ' Action', ' Crime']",4.5,11.0,Harmesh Malhotra,Shatrughan Sinha,Reena Roy,Danny Denzongpa
Sangram,(1950),139,['Drama'],6.7,30.0,Gyan Mukherjee,Ashok Kumar,Nalini Jaywant,Shashi Kapoor
Sangram,(1993),156,"['Drama', ' Romance']",3.2,197.0,Lawrence D'Souza,Ajay Devgn,Ayesha Jhulka,Karisma Kapoor
Sanjay,(1995),135,['Crime'],3.5,16.0,Shahrukh Sultan,Ayub Khan,Shakti Kapoor,Sakshi Shivanand
Sanjh Aur Savera,(1964),134,"['Drama', ' Family']",7.0,50.0,Hrishikesh Mukherjee,Meena Kumari,Guru Dutt,Mehmood
Sanjog,(1943),122,"['Comedy', ' Drama']",6.9,13.0,Abdul Rashid Kardar,Noor Mohammad Charlie,Anwar Hussain,Mehtab
Sanjog,(1961),135,"['Comedy', ' Drama', ' Romance']",5.9,17.0,Pramod Chakravorty,Pradeep Kumar,Anita Guha,Shubha Khote
Sanjog,(1972),150,"['Comedy', ' Drama', ' Family']",6.2,133.0,S.S. Balan,Mala Sinha,Amitabh Bachchan,Aruna Irani
Sanjog,(1985),148,['Drama'],7.0,85.0,K. Viswanath,Jeetendra,Jaya Prada,Vinod Mehra
Sankat City,(2009),120,"['Comedy', ' Crime', ' Drama']",6.2,609.0,Pankaj Advani,Kay Kay Menon,Rimi Sen,Anupam Kher
Sankham,(2009),155,"['Action', ' Comedy']",5.0,136.0,Siva,Tottempudi Gopichand,Trisha Krishnan,Chandramohan
Sankoch,(1976),113,"['Drama', ' Romance']",6.4,18.0,Anil Ganguly,Jeetendra,Sulakshana Pandit,Vikram Makandar
Sannata,(1981),125,"['Horror', ' Mystery']",6.6,42.0,Shyam Ramsay,Tulsi Ramsay,Vijay Arora,Birbal
Sansani: The Sensation,(1981),135,['Thriller'],4.9,9.0,Irshad,Vinod Mehra,Bindiya Goswami,Kavita
Sansar,(1971),135,"['Drama', ' Family']",6.7,7.0,Dilip Bose,Navin Nischol,Anupama,Abhi Bhattacharya
Sansar,(1987),135,['Drama'],6.9,166.0,Rama Rao Tatineni,Rekha,Raj Babbar,Anupam Kher
Sanshodhan,(1996),165,['Drama'],7.3,67.0,Govind Nihalani,Manoj Bajpayee,Vanya Joshi,Kishore Kadam
Sant Dnyaneshwar,(1940),139,['Fantasy'],7.9,45.0,Vishnupant Govind Damle,Sheikh Fattelal,Shahu Modak,Datta Dharmadhikari
Sant Dnyaneshwar,(1940),137,['Biography'],8.1,9.0,Vishnupant Govind Damle,Sheikh Fattelal,Shahu Modak,Datta Dharmadhikari
Sant Gyaneshwar,(1964),135,['Musical'],8.0,10.0,Manibhai Vyas,Sudhir Kumar,Surekha,Babloo
Sant Gyaneshwar,(1982),129,"['Biography', ' History']",6.5,10.0,Sudhir Dalvi,Kanan Kaushal,Mahesh Kothare,Dev Kumar
Sant Ravidas Ki Amar Kahani,(1983),135,['Fantasy'],8.5,6.0,Babubhai Mistry,Mohan Choti,Jeevan,Ashish Kumar
Sant Tukaram,(1937),131,['Biography'],6.7,229.0,Vishnupant Govind Damle,Sheikh Fattelal,Vishnupant Pagnis,Gauri
Santa Banta Pvt Ltd,(2016),112,"['Comedy', ' Crime', ' Drama']",2.8,247.0,Akashdeep,Boman Irani,Vir Das,Neha Dhupia
Santaan,(1993),161,"['Drama', ' Family']",5.8,40.0,Narayana Rao Dasari,Jeetendra,Moushumi Chatterjee,Deepak Tijori
Santosh,(1989),146,"['Drama', ' Family']",6.7,37.0,Balbir Wadhawan,Manoj Kumar,Nirupa Roy,Rakhee Gulzar
Santosham,(2002),150,"['Drama', ' Romance']",7.1,545.0,Dasaradh,Dasharth,Nagarjuna Akkineni,Shriya Saran
Sanyasi,(1975),155,['Drama'],6.8,62.0,Sohanlal Kanwar,Manoj Kumar,Hema Malini,Prem Nath
Sanyasi Mera Naam,(1999),135,['Action'],4.8,11.0,Imran Khalid,Rana Jung Bahadur,Mithun Chakraborty,Siddharth Dhawan
Sapne Saajan Ke,(1992),162,"['Drama', ' Romance']",3.3,141.0,Lawrence D'Souza,Jackie Shroff,Dimple Kapadia,Karisma Kapoor
Sapne Suhane,(1961),135,['Romance'],4.6,5.0,Kedar Kapoor,Balraj Sahni,Geeta Bali,Chandrashekhar
Sapnon Ka Mandir,(1991),135,"['Action', ' Crime', ' Drama']",4.3,20.0,Pradip Jain,Jeetendra,Jaya Prada,Johnny Lever
Sapnon Ka Saudagar,(1968),168,['Romance'],7.2,80.0,Mahesh Kaul,Raj Kapoor,Hema Malini,Jayant
Saqi,(1952),135,"['Fantasy', ' Romance']",6.7,13.0,Harnam Singh Rawail,Prem Nath,Madhubala,Bipin Gupta
Sar Ankhon Par,(1999),135,['Drama'],6.4,85.0,Gyan Sahay,Anoushka,Shruti Ulfat,Anuj Saxena
Sar Kati Laash,(1999),135,['Horror'],3.1,7.0,Teerat Singh,Shakti Kapoor,Mac Mohan,Rakesh Pandey
Sar Utha Ke Jiyo,(1998),135,"['Action', ' Romance']",2.5,149.0,Sikander Bharti,Naseeruddin Shah,Madhoo,Manek Bedi
Sara Akash,(1969),100,['Drama'],7.2,60.0,Basu Chatterjee,Madhu Chakravarty,Rakesh Pandey,Dina Pathak
Sarabha,(2018),137,['Fantasy'],6.8,65.0,N. Narasimharao,Narsimha Rao,Aakash Kumar Sehdev,Mishti
Saranga,(1961),130,"['Action', ' Drama', ' Romance']",4.5,24.0,Dhirubhai Desai,Sudesh Kumar,Jayshree Gadkar,Nilofar
Saraswathi Sabatham,(1966),159,"['Comedy', ' Drama', ' Fantasy']",7.3,117.0,A.P. Nagarajan,Shivaji Ganesan,Gemini Ganesan,Devika
Saraswatichandra,(1968),156,"['Drama', ' Romance']",6.4,127.0,Govind Saraiya,Nutan,Manish,Vijaya Choudhury
Sardar,(1993),175,"['Biography', ' Drama', ' History']",7.9,715.0,Ketan Mehta,Paresh Rawal,Tom Alter,Deepika Amin
Sardar,(1967),135,"['Action', ' History']",7.3,10.0,Babubhai Mistry,Ajit,Helen,Sheikh Mukhtar
Sardar,(1955),135,['Biography'],8.0,15.0,Gyan Mukherjee,Ashok Kumar,Bina Rai,Jagdish Sethi
Sardari Begum,(1996),116,['Drama'],6.6,189.0,Shyam Benegal,Amrish Puri,Kirron Kher,Smriti Mishra
Sa-Re-Ga-Ma-Pa,(1972),135,"['Comedy', ' Family', ' Musical']",4.4,7.0,Satyen Bose,Suresh Chatwal,Alka,Jagdeep
Sarfarosh,(1985),157,['Drama'],5.2,37.0,Narayana Rao Dasari,Asrani,Kamini Bhatia,Bharat Bhushan
Sargam,(1979),145,"['Musical', ' Romance']",6.8,159.0,K. Viswanath,Rishi Kapoor,Jaya Prada,Shashikala
Sargam,(1950),135,"['Drama', ' Family']",6.9,33.0,P.L. Santoshi,Raj Kapoor,Rehana,Om Prakash
Sargoshiyan,(2017),106,['Drama'],6.2,33.0,Imran Khan,Vijay Verma,Indraneil Sengupta,Sara Khan
Sarhad,(1960),118,['Drama'],7.5,20.0,Shankar Mukherjee,Dev Anand,Suchitra Sen,Ragini
Sarhad Paar,(2006),117,"['Action', ' Drama']",3.9,116.0,Raman Kumar,Mahima Chaudhry,Tabu,Sanjay Dutt
Sarhad: The Border of Crime,(1995),135,"['Action', ' Crime', ' Drama']",3.3,12.0,Mahendra Shah,Raj Babbar,Farha Naaz,Deepak Tijori
Sarivar Sari,(2005),126,['Drama'],7.0,39.0,Gajendra Ahire,Madhura Velankar,Mohan Joshi,Neena Kulkarni
Sarkari Mehman,(1979),135,"['Drama', ' Family']",4.8,10.0,N.D. Kothari,Vinod Khanna,Jasmin,Amjad Khan
Sarphira,(1992),135,['Action'],4.8,43.0,Ashok Gaekwad,Sanjay Dutt,Madhavi,Kimi Katkar
Sasti Dulhan Mahenga Dulha,(1986),148,['Drama'],5.3,12.0,Bhappi Sonie,Mahesh Anand,Arun,Beena Banerjee
Sasural,(1961),135,"['Action', ' Comedy', ' Drama']",6.4,36.0,T. Prakash Rao,Rajendra Kumar,Saroja Devi B.,Mehmood
Sasural,(1984),164,"['Drama', ' Family']",5.4,11.0,Govind Moonis,Arun Govil,Sadhana Singh,Bharat Bhushan
Satah Se Uthata Aadmi,(1980),114,['Drama'],6.7,68.0,Mani Kaul,Bharat Gopy,Vibhuti Jha,Satyen Kumar
Satellite Shankar,(2019),135,"['Action', ' Drama']",6.3,928.0,Irfan Kamal,Sooraj Pancholi,Anil Reji,Megha Akash
Sathyam,(2008),137,"['Action', ' Drama']",5.0,210.0,Rajsekhar,Vishal,Nayanthara,Brahmanandam
Sathyavaan Savithri,(1977),135,"['Biography', ' Drama', ' History']",5.3,18.0,P.G. Viswambharan,Kamal Haasan,Sridevi,P.K. Abraham
Sati Naag Kanya,(1983),135,"['Drama', ' Adventure', ' Action']",5.6,11.0,Babubhai Mistry,Neera,Vikram Gokhale,Manher Desai
Sati Savitri,(1964),135,['Fantasy'],6.9,7.0,Shantilal Soni,Mahipal,Anjali Devi,Jeevan
Satrangee Parachute,(2011),115,"['Comedy', ' Drama', ' Family']",5.3,66.0,Vineet Khetrapal,Sanjay Mishra,Zakir Hussain,Lilliput
Satta,(2003),153,"['Crime', ' Drama']",6.8,544.0,Madhur Bhandarkar,Raveena Tandon,Atul Kulkarni,Shri Vallabh Vyas
Satta Bazaar,(1959),135,['Drama'],6.5,23.0,Ravindra Dave,Meena Kumari,Balraj Sahni,Johnny Walker
Satya 2,(2013),142,"['Action', ' Crime', ' Drama']",5.9,940.0,Ram Gopal Varma,Puneet Singh Ratn,Sharwanand,Anaika Soti
Satyabhama,(2007),135,"['Drama', ' Romance']",3.8,8.0,Srihari Nanu,Babloo,Babu Mohan,Raghu Babu
Satyajit Ray,(1982),131,"['Documentary', ' Biography']",7.2,103.0,Shyam Benegal,Victor Banerjee,Smita Patil,Om Puri
Satyakam,(1969),175,['Drama'],8.2,690.0,Hrishikesh Mukherjee,Ashok Kumar,Dharmendra,Sharmila Tagore
Satyam Shivam Sundaram: Love Sublime,(1978),172,"['Drama', ' Romance']",7.1,999.0,Raj Kapoor,Shashi Kapoor,Zeenat Aman,Kanhaiyalal Chaturvedi
Satyamev Jayate,(1987),135,"['Action', ' Drama']",6.7,94.0,Raj N. Sippy,Vinod Khanna,Meenakshi Sheshadri,Madhavi
Satyameva Jayate,(2000),141,"['Crime', ' Thriller']",5.2,90.0,Viji Thampi,Suresh Gopi,Aishwarya,Baburaj
Satyavati,(2016),135,['Crime'],8.2,94.0,Deepthi Tadnaki,Iti Acharya,Shwetha Gupta,Anmol Jai
Sau Crore,(1991),158,"['Mystery', ' Thriller']",4.0,46.0,Dev Anand,Dev Anand,Sonika Gill,Vikram Gokhale
Sau Din Saas Ke,(1980),135,['Drama'],6.0,40.0,Vijay Sadanah,Ashok Kumar,Raj Babbar,Reena Roy
Sau Jhooth Ek Sach,(2004),110,"['Drama', ' Thriller']",7.2,70.0,Bappaditya Roy,Mammootty,Lillete Dubey,Joy Sengupta
Sau Saal Baad,(1989),135,['Horror'],3.4,17.0,Mohan Bhakri,Hemant Birje,Sahila Chaddha,Suraj Chaddha
Sauda,(1995),132,['Romance'],3.8,24.0,Ramesh Modi,Sumeet Saigal,Neelam Kothari,Vikas Bhalla
Saudagar,(1973),131,"['Drama', ' Family']",7.2,733.0,Sudhendu Roy,Amitabh Bachchan,Nutan,Trilok Kapoor
Saugandh,(1991),153,"['Action', ' Drama', ' Romance']",5.8,925.0,Raj N. Sippy,Rakhee Gulzar,Akshay Kumar,Shanti Priya
Saugandh Geeta Ki,(2001),97,['Action'],3.8,6.0,William Hunt,Ishrat Ali,Hemant Birje,Pinky Chinoy
Sautela,(1999),139,['Action'],4.7,13.0,Rama Rao Tatineni,Vinay Anand,Mithun Chakraborty,Gulshan Grover
Sautela Bhai,(1962),135,"['Drama', ' Family']",7.3,10.0,Mahesh Kaul,Anwari,Bagla,S.N. Banerjee
Sautela Bhai,(1996),144,['Drama'],6.0,25.0,B.R. Ishara,Rajesh Khanna,Raj Babbar,Kumar Gaurav
Savera,(1958),135,"['Crime', ' Drama']",7.2,9.0,Satyen Bose,Ashok Kumar,Meena Kumari,Bipin Gupta
Saveray Wali Gaadi,(1986),135,['Drama'],6.2,58.0,Bharathiraja,Sunny Deol,Poonam Dhillon,Prem Chopra
Sawaal,(1982),123,"['Drama', ' Family', ' Romance']",6.1,56.0,Ramesh Talwar,Sanjeev Kumar,Waheeda Rehman,Shashi Kapoor
Sawan Bhadon,(1970),155,"['Action', ' Romance', ' Thriller']",6.5,41.0,Mohan Segal,Navin Nischol,Rekha,Shyama
Sawan Ki Ghata,(1966),136,"['Musical', ' Romance']",6.3,55.0,Shakti Samanta,Manoj Kumar,Sharmila Tagore,Mumtaz
Sawan Ko Aane Do,(1979),153,"['Musical', ' Drama', ' Romance']",7.6,64.0,Kanak Mishra,Rita Bhaduri,Arun Govil,Jankidas
Say Salaam India: 'Let's Bring the Cup Home',(2007),130,"['Drama', ' Sport']",6.3,94.0,Subhash Kapoor,Mandar Jadhav,Milind Soman,Sanjay Suri
Say Yes to Love,(2012),115,['Romance'],5.5,14.0,Mahrukh Mirza,Nazia Hussain,Salim Khan,Kunal Shamshere Malla
Sayonee,(2020),111,"['Action', ' Musical', ' Romance']",7.6,566.0,Nitin Gupta,Abhay Singhal,Tanmay Ssingh,Musskan Sethi
Sazaa,(1951),111,"['Drama', ' Family']",6.2,36.0,Fali Mistry,Dev Anand,Nimmi,Shyama
Sazaa,(1972),135,"['Action', ' Thriller']",5.0,6.0,Chand,Ashok Kumar,Pran,Kabir Bedi
Sazaye Maut,(1981),135,"['Crime', ' Drama']",7.0,80.0,Vidhu Vinod Chopra,Naseeruddin Shah,Radha Saluja,Naresh Suri
School,(2004),135,['Drama'],6.6,13.0,Pratima V. Kulkarni,Yashodhan Bal,Ravi Behl,Siddharth Dhamija
School Girl,(1999),135,['Drama'],8.0,50.0,Kishan Shah,Aparna,Raj Premi,Jyoti Rana
Scorned,(2020),104,['Thriller'],2.5,25.0,Tanveer Hashmi,Tanveer Hashmi,Pooja Joshi,Paras Randhawa
Scotland,(2019),120,['Crime'],5.3,406.0,Manish Vatssalya,Adam Saini,Khushboo Purohit,Chetan Pandit
Scream of the Ants,(2006),85,"['Adventure', ' Drama']",6.0,856.0,Mohsen Makhmalbaf,Mamhoud Chokrollahi,Mahnour Shadzi,Karl Maass
Searching for Sheela,(2021),58,"['Documentary', ' Biography', ' Crime']",4.1,553.0,Shakun Batra,Ma Anand Sheela,Shoma Chaudhury,Anurag Chauhan
Seasons Greeting,(2019),47,['Drama'],6.5,32.0,Ram Kamal Mukherjee,Lillete Dubey,Shree Ghatak,Celina Jaitly
Second Hand Husband,(2015),105,"['Comedy', ' Romance']",3.8,156.0,Smeep Kang,Dharmendra,Sanjay Mishra,Vijay Raaz
Second Marriage Dot Com,(2012),130,['Drama'],7.5,55.0,Gaurav Panjwani,Subhash Ahuja,Syna Anand,Raman Atre
Secret Attack,(2020),135,['Drama'],8.6,21.0,Hemendra Kumar Singh,Perthvi Jutsi,Brijendra Kala,Ashutosh Kaushik
Secrets of the Seven Sounds,(2008),135,"['Animation', ' Adventure', ' Fantasy']",3.8,9.0,Rajiv Maikhuri,Parvin Dabas,Gaurav Kapoor,Koel Purie
Seema,(1971),135,"['Drama', ' Family']",6.0,13.0,Surendra Mohan,Rakesh Roshan,Kabir Bedi,Simi Garewal
Seema,(1955),140,['Drama'],6.8,103.0,Amiya Chakrabarty,Nutan,Balraj Sahni,Sunder
Seepeeyan,(1984),135,['Drama'],6.8,12.0,Akash Jain,Om Puri,Ranjeet,Debashree Roy
Seetharamula Kalyanam Lankalo,(2010),142,"['Action', ' Comedy', ' Drama']",4.4,119.0,Y. Eshwara Reddy,Hansika Motwani,Nithiin,Ali
Seevalaperi Pandi,(1994),114,"['Action', ' Thriller']",6.8,44.0,Prathap Pothen,Ahana,Napolean,R.P. Vishwam
Sehra,(1963),135,"['Drama', ' Romance']",6.0,40.0,Shantaram Rajaram Vankudre,Sandhya,Lalita Pawar,Prashanth
Sengottai,(1996),150,['Action'],6.9,15.0,C.V. Sasikumar,Rajan Deo,Rajan P. Dev,Meena
Setters,(2019),126,['Thriller'],5.3,246.0,Ashwini Chaudhary,Shreyas Talpade,Aftab Shivdasani,Sonnalli Seygall
Sewak,(1975),135,['Drama'],6.7,9.0,S.M. Abbas,Vinod Khanna,Neetu Singh,Ranjeet
Shaadi,(1962),135,"['Action', ' Comedy', ' Drama']",7.2,28.0,R. Krishnan,S. Panju,Balraj Sahni,Saira Banu
Shaadi Abhi Baaki Hai,(2017),127,['Drama'],5.2,11.0,Mansi Dovhal,Amit Bhaskar,Prem Chopra,Sonika Chopra
Shaadi Ka Laddoo,(2004),135,['Comedy'],5.1,99.0,Raj Kaushal,Sanjay Suri,Mandira Bedi,Aashish Chaudhary
Shaadi Ke Baad,(1972),134,['Comedy'],5.1,28.0,L.V. Prasad,Jeetendra,Rakhee Gulzar,Shatrughan Sinha
Shaadi ke patasey,(2019),90,['Drama'],6.9,7.0,Shahid Kazmi,Arjun Manhas,Tariq Imtyaz,Mushtaq Ali
Shaadi No. 1,(2005),129,['Comedy'],3.5,892.0,David Dhawan,Fardeen Khan,Zayed Khan,Sharman Joshi
Shaadi Se Pehle,(2006),122,"['Comedy', ' Musical', ' Romance']",4.1,737.0,Satish Kaushik,Akshaye Khanna,Ayesha Takia,Mallika Sherawat
Shaadi Teri Bajayenge Hum Band,(2018),140,['Comedy'],4.9,180.0,Gurpreet Sondh,Rahul Bagga,Radha Bhatt,Shrashti Maheshwari
Shaadisthan,(2021),94,"['Drama', ' Musical']",6.0,191.0,Raj Singh Chaudhary,Nivedita Bhattacharya,Sanjay Dadhich,Kirti Kulhari
Shaapit: The Cursed,(2010),145,"['Adventure', ' Horror', ' Romance']",5.4,844.0,Vikram Bhatt,Aditya Narayan,Shweta Agarwal,Shubh Joshi
Shaayad,(1979),135,['Drama'],5.3,14.0,Madan Bawaria,Vijayendra Ghatge,Neeta Mehta,Naseeruddin Shah
Shabab,(1954),135,"['Drama', ' Romance']",5.5,25.0,M. Sadiq,Bharat Bhushan,Nutan,Shyam Kumar
Shabnam,(1949),154,"['Drama', ' Family', ' Romance']",6.6,32.0,Bibhuti Mitra,Dilip Kumar,Shyama,Cuckoo
Shabnam,(1964),135,"['Action', ' Adventure', ' Comedy']",5.4,18.0,Aspi Irani,Mehmood,L. Vijayalakshmi,Sheikh Mukhtar
Shabnam Mausi,(2005),150,"['Action', ' Biography', ' Drama']",6.2,56.0,Yogesh Bharadwaj,Ashutosh Rana,Sujeet Chaubey,Rashami Desai
Shabri,(2011),98,"['Action', ' Crime', ' Drama']",5.6,136.0,Lalit Marathe,Isha Koppikar,Raj Arjun,Manish Wadhwa
Shackle,(2015),99,['Drama'],7.4,20.0,Dedipya Joshii,Tanima Bhattacharya,Chetan Sharma,Harish Hariaudh
Shadi Ki Raat,(1935),135,['Horror'],5.1,8.0,Mohan Dayaram Bhavnani,Nargis,S.B. Nayampalli,Fatty Prasad
Shadow,(2009),135,"['Action', ' Crime', ' Drama']",4.9,55.0,Rohit Krishnakant Nayyar,Samir Aftab,Shruti Agarwal,Hrishitaa Bhatt
Shadyantra,(1990),135,"['Action', ' Crime', ' Drama']",5.3,15.0,Rajan Johri,Hema Malini,Raja Bundela,Pankaj Kapur
Shagird,(1967),135,"['Comedy', ' Musical', ' Romance']",7.0,123.0,Samir Ganguly,Joy Mukherjee,Saira Banu,I.S. Johar
Shaheed,(1948),164,"['Drama', ' Romance']",7.2,74.0,Ramesh Saigal,Dilip Kumar,Kamini Kaushal,Chandra Mohan
Shaheed,(1965),150,"['Biography', ' Drama', ' History']",7.9,344.0,S. Ram Sharma,Kamini Kaushal,Nirupa Roy,Anand Kumar
Shaheed Bhagat Singh,(1963),135,"['Biography', ' History']",6.8,24.0,Shammi Kapoor,Prem Nath,Achala Sachdev,D.K. Sapru
Shaheed- E- Aazam,(2018),135,['Biography'],6.1,7.0,Arun K. Pathak,Sibu Giri,Prashant Kumar,Rahul Pathak
Shaheed-E-Azam,(2002),173,"['Biography', ' Drama', ' History']",6.8,27.0,Sukumar Nair,Sonu Sood,Manav Vij,Binnu Dhillon
Shahenshah,(1953),123,['Action'],4.6,9.0,Amiya Chakrabarty,Ranjan,Shakila,K.N. Singh
Shahjehan,(1946),121,"['Drama', ' History', ' Romance']",6.9,30.0,Abdul Rashid Kardar,K.L. Saigal,Ragini,Rehman
Shahji ki Advice,(2006),73,['Comedy'],7.4,25.0,Jaspal Bhatti,Rakesh Bedi,Jaspal Bhatti,Shail Chaturvedi
Shair,(1949),138,['Romance'],7.1,21.0,Chawla,Suraiya,Dev Anand,Kamini Kaushal
Shaitaan,(1974),121,"['Action', ' Crime', ' Drama']",5.4,19.0,Feroz Chinoy,Shatrughan Sinha,Sharmila Tagore,Anil Dhawan
Shaitan Mujrim,(1979),135,"['Adventure', ' Crime', ' Horror']",6.2,10.0,Nazar Khan,Rakesh Khanna,Jyoti Matwankar,Dev Kumar
Shaitani Atma,(1998),135,['Horror'],3.2,6.0,Harinam Singh,Sonia Thakur,Shweta Phule,Ghanshyam
Shaitani Dracula,(2006),79,['Horror'],4.3,6.0,Harinam Singh,Birbal,Ramesh Goyal,Manmauji
Shaitani Ilaaka,(1990),128,['Horror'],4.8,51.0,Kiran Ramsay,Sunil Dhawan,Shehnaz Kudia,Neelam Mehra
Shakaal,(1994),135,['Action'],5.4,12.0,Senthilnathan,Deepika Chikhalia,Kanaka,Rajinikanth
Shakal Pe Mat Ja,(2011),140,"['Comedy', ' Crime', ' Drama']",4.9,39.0,Shubh Mukherjee,Shubh Mukherjee,Pratik Katare,Harsh Parekh
Shakalaka Boom Boom,(2007),129,"['Drama', ' Musical', ' Romance']",2.3,604.0,Suneel Darshan,Bobby Deol,Upen Patel,Celina Jaitly
Shakeela,(2020),126,"['Biography', ' Drama']",3.2,528.0,Indrajit Lankesh,Pankaj Tripathi,Richa Chadha,Rajeev Pillai
Shakespeare-Wallah,(1965),120,"['Drama', ' Romance']",6.8,685.0,James Ivory,Shashi Kapoor,Felicity Kendal,Geoffrey Kendal
Shakka,(1981),135,['Action'],5.4,10.0,Shyam Ralhan,Jeetendra,Simple Kapadia,Zaheera
Shaktiman,(1993),155,"['Action', ' Drama', ' Romance']",2.6,176.0,K.C. Bokadia,Ajay Devgn,Karisma Kapoor,Mukesh Khanna
Shakuntala,(1947),76,['Drama'],6.7,6.0,Shantaram Rajaram Vankudre,Kumar Ganesh,Jayashree,Chandra Mohan
Shalimar,(1978),137,"['Action', ' Adventure', ' Crime']",6.3,529.0,Krishna Shah,Dharmendra,Zeenat Aman,Rex Harrison
Sham Ghansham,(1998),160,"['Action', ' Drama']",3.5,61.0,Ashok Ghai,Rakhee Gulzar,Chandrachur Singh,Arbaaz Khan
Shama,(1981),135,"['Crime', ' Drama', ' Romance']",6.9,13.0,Naeem Basit,Girish Karnad,Shabana Azmi,Aruna Irani
Shama,(1961),149,"['Drama', ' Musical', ' Romance']",6.5,10.0,Lekhraj Bhakri,Nimmi,Vijay Dutt,M. Kumar
Shama Parwana,(1954),147,"['Drama', ' Romance']",6.6,23.0,D.D. Kashyap,Suraiya,Shammi Kapoor,Mubarak
Shanakht,(1989),135,['Drama'],4.4,13.0,Tinnu Anand,Amitabh Bachchan,Madhuri Dixit,Madhavi
Shandaar,(1974),145,"['Drama', ' Family']",6.8,29.0,R. Krishnan,S. Panju,Sanjeev Kumar,Sharmila Tagore
Shandar,(1990),146,"['Action', ' Comedy', ' Drama']",5.2,42.0,Vinod Dewan,Mithun Chakraborty,Meenakshi Sheshadri,Juhi Chawla
Shankar Dada,(1976),130,['Drama'],6.5,26.0,Shibu Mitra,Ashok Kumar,Shashi Kapoor,Neetu Singh
Shankar Hussain,(1977),135,['Drama'],6.5,15.0,Yusuf Naqvi,Pradeep Kumar,Kanwaljit Singh,Madhu Chanda
Shankar Khan,(1966),140,"['Action', ' Drama', ' Sport']",5.6,5.0,Nanabhai Bhatt,Prithviraj Kapoor,Dara Singh,Randhawa
Shankar Shambhu,(1976),137,"['Action', ' Crime', ' Drama']",5.5,25.0,Chand,Feroz Khan,Vinod Khanna,Sulakshana Pandit
Shankara,(1991),135,['Action'],5.4,47.0,Sudarshan Nag,Sunny Deol,Neelam Kothari,Alpana
Shanti Kranti,(1991),142,"['Action', ' Musical', ' Romance']",6.0,101.0,V. Ravichandran,Nagarjuna Akkineni,V. Ravichandran,Juhi Chawla
Shapath,(1984),128,['Action'],4.3,11.0,Ravikant Nagaich,Raj Babbar,Smita Patil,Ranjeet
Shapath,(1997),140,['Action'],5.5,90.0,Rajiv Babbar,Mithun Chakraborty,Vineeta,Jackie Shroff
Shaque,(1976),135,['Drama'],7.1,50.0,Vikas Desai,Aruna Raje,Vinod Khanna,Shabana Azmi
Sharabi,(1964),135,"['Drama', ' Musical', ' Romance']",7.5,71.0,Raj Rishi,Dev Anand,Madhubala,Daisy Irani
